Area,BHK,Bathroom,Location,Price
1420,3,3,Gandhinagar,9472838
2704,2,4,Surat,14257733
4709,1,1,Junagadh,18030557
4317,3,3,Jamnagar,20218245
4682,4,4,Rajkot,21979380
831,4,3,Nadiad,6460568
4645,4,1,Gandhinagar,24244748
1430,5,4,Anand,7531371
2783,1,3,Surat,13196511
4398,2,4,Rajkot,18846691
4905,1,4,Vadodara,24215099
2134,4,2,Nadiad,10335673
3963,4,1,Porbandar,18083680
2196,1,4,Vadodara,12931570
2026,2,3,Anand,11055949
1383,1,3,Gandhinagar,8711143
1461,4,2,Jamnagar,8463882
3520,5,3,Vadodara,14101257
3581,5,2,Nadiad,15704535
4008,3,1,Surat,18321400
3600,5,2,Nadiad,15400844
4288,3,1,Porbandar,17641995
4385,3,2,Vadodara,17798865
1542,2,3,Nadiad,7631381
636,2,3,Nadiad,5541003
773,4,2,Nadiad,6541243
1721,5,2,Porbandar,9341927
2969,4,3,Bhavnagar,12981936
2911,2,2,Ahmedabad,12874504
2934,5,1,Ahmedabad,15496954
2358,2,4,Bhavnagar,10758327
993,1,3,Bhavnagar,5710732
1072,5,3,Rajkot,6664164
4487,1,4,Anand,20155333
4392,3,3,Nadiad,19312149
4591,5,1,Anand,17931749
3218,4,3,Junagadh,15615466
4876,5,2,Anand,17715683
2673,2,3,Jamnagar,13375375
1846,3,1,Anand,10989533
4216,5,2,Junagadh,19060442
4234,4,4,Gandhinagar,21917746
2214,5,2,Anand,12368373
4253,4,1,Rajkot,20894640
965,4,2,Ahmedabad,8351763
4137,5,2,Anand,16626392
1229,4,1,Jamnagar,6506329
3560,4,1,Jamnagar,17545870
4926,5,3,Bhavnagar,19569396
2619,3,1,Junagadh,11679751
1273,5,1,Ahmedabad,9579716
974,3,3,Ahmedabad,7934882
3633,2,4,Anand,16495278
4327,1,2,Ahmedabad,19492380
1631,1,2,Junagadh,9275816
1999,4,3,Gandhinagar,10750471
3146,4,4,Ahmedabad,16678344
1338,4,1,Bhavnagar,6722356
790,1,1,Rajkot,5413281
1423,4,4,Jamnagar,8862698
4834,1,2,Ahmedabad,21907984
3357,5,1,Anand,12914697
4225,5,4,Gandhinagar,17730929
3236,1,2,Rajkot,14509601
2622,4,1,Ahmedabad,14506728
2774,2,2,Anand,15122115
3467,5,3,Junagadh,14427251
3778,1,1,Ahmedabad,18238313
1085,1,2,Gandhinagar,8121273
1474,4,2,Gandhinagar,10628186
1694,3,1,Vadodara,8975510
2362,1,1,Anand,11530565
3382,5,1,Anand,16851260
3517,2,2,Ahmedabad,17013706
1944,4,3,Bhavnagar,8768047
4761,4,1,Surat,19494414
2261,2,3,Jamnagar,9443763
1106,5,4,Bhavnagar,7333392
4786,2,4,Anand,21910543
3741,3,2,Nadiad,15582162
2309,4,1,Anand,11471880
4175,3,4,Jamnagar,18185824
1949,4,2,Ahmedabad,12592018
3554,1,4,Ahmedabad,19409846
1133,2,4,Rajkot,6498814
795,5,4,Bhavnagar,5713401
1913,5,1,Surat,11025045
1488,1,4,Jamnagar,8876176
767,1,2,Jamnagar,6115673
2122,3,3,Jamnagar,11115779
818,1,1,Nadiad,5879108
2238,1,4,Vadodara,11187146
3111,1,1,Gandhinagar,17137038
1958,3,3,Vadodara,10019892
4734,2,3,Gandhinagar,19637521
2579,3,2,Ahmedabad,14437219
1797,4,3,Vadodara,11097114
4219,2,1,Rajkot,15134563
762,5,3,Rajkot,5555940
4113,1,2,Junagadh,19326868
2905,4,3,Bhavnagar,12429818
2533,4,1,Anand,12355973
4852,2,3,Nadiad,17420323
3465,2,2,Rajkot,15428148
1640,5,4,Vadodara,10568184
4387,5,3,Rajkot,19215921
909,2,3,Ahmedabad,7712222
4666,4,4,Gandhinagar,19353148
2271,3,1,Anand,11892212
3443,2,2,Surat,17489993
3175,1,4,Anand,14109672
2841,1,3,Gandhinagar,14133971
2067,2,1,Bhavnagar,9948060
4468,3,2,Anand,21367885
4573,2,2,Bhavnagar,16365620
4112,2,2,Bhavnagar,19720861
1849,4,2,Junagadh,9283247
1565,1,3,Anand,9084683
2364,4,3,Ahmedabad,14270334
2817,3,1,Gandhinagar,16150978
4752,3,2,Junagadh,20767801
967,3,3,Nadiad,6137142
3240,1,1,Ahmedabad,15727199
2928,5,4,Gandhinagar,15096132
3096,5,3,Gandhinagar,13583471
3207,3,3,Junagadh,13417856
4295,2,4,Jamnagar,15959825
825,5,4,Rajkot,6171617
2353,4,2,Anand,10869114
2693,1,3,Jamnagar,13126701
1877,2,1,Nadiad,9332625
3645,4,4,Vadodara,18358650
4274,2,4,Gandhinagar,17381950
1756,2,2,Surat,10146757
1924,2,2,Bhavnagar,10736205
2691,5,1,Jamnagar,13476771
2343,5,1,Nadiad,12220806
4424,4,3,Bhavnagar,16499923
1628,1,3,Bhavnagar,8911224
1619,5,4,Vadodara,9407462
3392,5,2,Anand,14049604
4777,2,3,Ahmedabad,18340671
1624,2,2,Junagadh,9151986
927,4,1,Rajkot,6497513
3990,2,2,Jamnagar,19567686
2170,1,4,Anand,9579477
581,4,2,Bhavnagar,4687649
4511,1,4,Anand,21638768
781,3,1,Surat,7243635
589,1,1,Junagadh,4663554
2842,3,3,Surat,13503853
1680,1,2,Junagadh,8760911
3635,2,4,Ahmedabad,18350310
583,2,3,Ahmedabad,6307059
4540,2,2,Surat,17679406
4305,4,3,Gandhinagar,19811617
3486,3,4,Vadodara,16137502
1832,1,1,Junagadh,7847375
3724,2,4,Bhavnagar,17980329
3685,5,2,Vadodara,15053401
1025,1,1,Jamnagar,7233228
4473,2,4,Surat,18806685
1864,5,2,Anand,10379352
3801,5,1,Bhavnagar,16201449
3758,1,1,Ahmedabad,16789055
3122,1,4,Junagadh,13061065
1506,5,4,Anand,8152449
4423,4,1,Junagadh,19772280
4411,5,1,Bhavnagar,15344447
3319,3,1,Surat,13587171
4901,1,3,Nadiad,22915320
3045,2,2,Surat,15984121
4682,3,1,Junagadh,19146357
2149,3,3,Anand,11374024
3236,4,1,Surat,17470981
588,1,2,Gandhinagar,6831408
1115,5,2,Jamnagar,7609977
4757,1,2,Surat,21234961
978,3,3,Anand,7298358
2379,5,4,Rajkot,12959539
3598,5,4,Anand,14481867
1759,5,4,Surat,10407984
1526,1,3,Anand,9106672
4784,1,1,Surat,18512170
4072,5,3,Gandhinagar,19722215
2867,4,3,Porbandar,12845562
3488,5,2,Ahmedabad,16022044
4320,2,2,Surat,17669083
3521,3,2,Surat,15007376
